genre,name,artist,release_year
Rock,Rock Around the Clock,Bill Haley & His Comets,1954
Rock,Blue Suede Shoes,Elvis Presley,1956
Pop,The One That Got Away,Katy Perry,2010
Pop,Roar,Katy Perry,2013
MPB,Chega de Saudade,João Gilberto,1959
MPB,O Leãozinho,Caetano Veloso,1977
Pop,Hips Don't Lie,Shakira,2005
Country,I Walk the Line,Johnny Cash,1956
Rock,Be-Bop-A-Lula,Gene Vincent,1956
Rock,That's All Right,Elvis Presley,1954
Rock,Great Balls of Fire,Jerry Lee Lewis,1957
Rock,Summertime Blues,Eddie Cochran,1958
Rock,Stray Cat Strut,Stray Cats,1981
Soul,I Got You (I Feel Good),James Brown,1965
Soul,What's Going On,Marvin Gaye,1971
Jazz,Round Midnight,Thelonious Monk,1944
Jazz,Summertime,Ella Fitzgerald & Louis Armstrong,1957
Jazz,What a Wonderful World,Louis Armstrong,1967
Jazz,Autumn Leaves,Cannonball Adderley,1958
Soul,Respect,Aretha Franklin,1967
Soul,Ain't No Sunshine,Bill Withers,1971
Rock,Peggy Sue,Buddy Holly,1957
Rock,Rumble,Link Wray,1958
Rock,Mystery Train,Elvis Presley,1955
Rock,Smells Like Teen Spirit,Nirvana,1991
Rock,Black,Pearl Jam,1991
Rock,Alive,Pearl Jam,1991
Rock,Jeremy,Pearl Jam,1992
Rock,Man in the Box,Alice in Chains,1990
Rock,Hunger Strike,Temple of the Dog,1991
Rock,Rooster,Alice in Chains,1992
Rock,Lithium,Nirvana,1992
Jazz,Strange Fruit,Billie Holiday,1939
Jazz,Blue in Green,Miles Davis,1959
Rock,No Rain,Blind Melon,1992
Rock,Plush,Stone Temple Pilots,1992
Rock,Back in Black,AC/DC,1980
Rock,Livin' on a Prayer,Bon Jovi,1986
Rock,Smoke on the Water,Deep Purple,1972
Rock,You Shook Me All Night Long,AC/DC,1980
Rock,Crazy Train,Ozzy Osbourne,1980
Rock,Highway to Hell,AC/DC,1979
Rock,Sweet Child o' Mine,Guns N' Roses,1987
Rock,We Will Rock You,Queen,1977
Rock,Rock and Roll All Nite,KISS,1975
Pop,Billie Jean,Michael Jackson,1982
Pop,Hello,Adele,2015
Pop,Shape of You,Ed Sheeran,2017
Pop,Uptown Funk,Mark Ronson (ft. Bruno Mars),2014
Pop,Despacito,Luis Fonsi & Daddy Yankee,2017
Pop,Happy,Pharrell Williams,2013
Rock,Don't Stop Believin',Journey,1981
Rock,Straight Edge,Minor Threat,1981
Rock,Pay to Cum,Bad Brains,1980
Rock,Rise Above,Black Flag,1981
Rock,Firestorm,Earth Crisis,1993
Rock,Minority,Green Day,1997
Rock,Sabotage,Beastie Boys,1994
Rock,Last Caress,Misfits,1980
Rock,Waiting Room,Fugazi,1988
Rock,Something I Can Never Have,Nine Inch Nails,1989
Rock,Nervous Breakdown,Black Flag,1978
Rock,Close to the Edge,Yes,1972
Rock,The Court of the Crimson King,King Crimson,1969
Rock,Thick as a Brick,Jethro Tull,1972
Country,Ring of Fire,Johnny Cash,1963
Country,Achy Breaky Heart,Billy Ray Cyrus,1992
Country,Crazy,Patsy Cline,1961
Rock,Supper's Ready,Genesis,1972
Rock,Echoes,Pink Floyd,1971
Rock,Siberian Khatru,Yes,1972
Rock,Aqualung,Jethro Tull,1971
Rock,Roundabout,Yes,1971
Rock,The Musical Box,Genesis,1971
Rock,Karn Evil 9,Emerson Lake & Palmer,1973
Rock,The Sound of Silence,Simon & Garfunkel,1964
Rock,American Pie,Don McLean,1971
Rock,Mrs. Robinson,Simon & Garfunkel,1968
Rock,Big Yellow Taxi,Joni Mitchell,1970
Rock,Layla,Eric Clapton,1970
Rock,California Dreamin',The Mamas & the Papas,1965
Rock,If I Had a Hammer,Peter Paul and Mary,1962
Rock,The Weight,The Band,1968
Rock,Mr. Tambourine Man,The Byrds,1965
Rock,Woodstock,Crosby Stills Nash & Young,1970
Rock,Paranoid,Black Sabbath,1970
Rock,Run to the Hills,Iron Maiden,1982
Rock,Master of Puppets,Metallica,1986
Pop,Blank Space,Taylor Swift,2014
Pop,Cheap Thrills,Sia,2016
Pop,Thinking Out Loud,Ed Sheeran,2014
Pop,Rude,MAGIC!,2013
MPB,Garota de Ipanema,Antônio Carlos Jobim & Vinícius de Moraes,1962
MPB,Águas de Março,Elis Regina & Tom Jobim,1972
MPB,Tropicália,Caetano Veloso,1968
Pop,See You Again,Wiz Khalifa (ft. Charlie Puth),2015
Pop,Poker Face,Lady Gaga,2008
Rock,Crazy Train,Ozzy Osbourne,1980
Rock,Number of the Beast,Iron Maiden,1982
Rock,Painkiller,Judas Priest,1990
Rock,Ace of Spades,Motörhead,1980
Rock,War Pigs,Black Sabbath,1970
Rock,Breaking the Law,Judas Priest,1980
Rock,One,Metallica,1989
MPB,Trem das Onze,Demônios da Garoa,1965
MPB,Construção,Chico Buarque,1971
MPB,Roda,Gilberto Gil,1973
Rock,Anarchy in the U.K.,Sex Pistols,1976
Rock,I Wanna Be Your Dog,The Stooges,1969
Rock,Blitzkrieg Bop,Ramones,1976
Rock,Holiday in Cambodia,Dead Kennedys,1980
Rock,London Calling,The Clash,1979
Rock,California Über Alles,Dead Kennedys,1979
Soul,At Last,Etta James,1961
Soul,Stand by Me,Ben E. King,1961
Rock,My Sharona,The Knack,1979
Rock,White Riot,The Clash,1977
Rock,Ever Fallen in Love,Buzzcocks,1978
Rock,Teenage Kicks,The Undertones,1978
Country,Stand by Your Man,Tammy Wynette,1968
Country,He Stopped Loving Her Today,George Jones,1980
Rock,Don't You (Forget About Me),Simple Minds,1985
Rock,Sweet Child o' Mine,Guns N Roses,1987
Rock,Every Breath You Take,The Police,1983
Rock,Hotel California,Eagles,1976
Rock,Dream On,Aerosmith,1973
Rock,More Than a Feeling,Boston,1976
Rock,Africa,Toto,1982
Rock,Time After Time,Cyndi Lauper,1983
Rock,Don't Stop Believin',Journey,1981
Pop,We Don't Talk Anymore,Charlie Puth (ft. Selena Gomez),2016
Pop,Perfect,Ed Sheeran,2017
Rock,Let It Be,The Beatles,1970
Rock,Smells Like Teen Spirit,Nirvana,1991
Rock,Zombie,The Cranberries,1993
Rock,Boulevard of Broken Dreams,Green Day,2004
Rock,Black Hole Sun,Soundgarden,1994
Jazz,Birdland,Weather Report,1977
Rock,Losing My Religion,R.E.M.,1991
Rock,Scar Tissue,Red Hot Chili Peppers,1999
Rock,1979,The Smashing Pumpkins,1996
Rock,Everlong,Foo Fighters,1997
Rock,Creep,Radiohead,1992
Rock,Take Me to Church,Hozier,2013
Rock,Bohemian Rhapsody,Queen,1975
Rock,Rocket Man,Elton John,1972
Rock,Every Breath You Take,The Police,1983
Soul,My Girl,The Temptations,1964
Soul,Lean on Me,Bill Withers,1972
Soul,Sittin' On The Dock of the Bay,Otis Redding,1968
Soul,Let's Get It On,Marvin Gaye,1973
Rock,Hotel California,Eagles,1976
Rock,Dream On,Aerosmith,1973
Jazz,Take Five,Dave Brubeck,1959
Pop,Sorry,Justin Bieber,2015
Pop,Rolling in the Deep,Adele,2010
Pop,Firework,Katy Perry,2010
Pop,All of Me,John Legend,2013
Pop,Can't Stop the Feeling!,Justin Timberlake,2016
Pop,Havana,Camila Cabello,2017
Pop,Wrecking Ball,Miley Cyrus,2013
Country,Take Me Home Country Roads,John Denver,1971
Country,Jolene,Dolly Parton,1974
Country,The Devil Went Down to Georgia,The Charlie Daniels Band,1979
Country,Friends in Low Places,Garth Brooks,1990
Pop,Love Me Like You Do,Ellie Goulding,2015
Pop,Bad Guy,Billie Eilish,2019
Jazz,My Favorite Things,John Coltrane,1961
Jazz,So What,Miles Davis,1959
Rock,More Than a Feeling,Boston,1976
Rock,Africa,Toto,1982
Rock,Time After Time,Cyndi Lauper,1983
Rock,Don't Stop Believin',Journey,1981
Pop,Bleeding Love,Leona Lewis,2007
Pop,Waka Waka (This Time for Africa),Shakira,2010
MPB,Canto de Ossanha,Baden Powell & Vinícius de Moraes,1966
MPB,Aquarela do Brasil,Ary Barroso,1939
Pop,Can't Feel My Face,The Weeknd,2015
Pop,Love Yourself,Justin Bieber,2015